team	stats	rankings	value
West Virginia	Stat	Rank	Value
West Virginia	Total Offense	23	479.7
West Virginia	Rushing Offense	16	228.2
West Virginia	Passing Offense	42	251.5
West Virginia	Team Passing Efficiency	59	131.09
West Virginia	Scoring Offense	T-35	34.0
West Virginia	Total Defense	61	396.5
West Virginia	Rushing Defense	51	158.7
West Virginia	Passing Yards Allowed	82	237.8
West Virginia	Team Passing Efficiency Defense	32	117.19
West Virginia	Scoring Defense	44	24.6
West Virginia	Turnover Margin	T-15	0.69
West Virginia	3rd Down Conversion Pct	68	0.391
West Virginia	4th Down Conversion Pct	79	0.474
West Virginia	3rd Down Conversion Pct Defense	13	0.317
West Virginia	4th Down Conversion Pct Defense	T-28	0.429
West Virginia	Red Zone Offense	78	0.828
West Virginia	Red Zone Defense	102	0.884
West Virginia	Net Punting	22	39.75
West Virginia	Punt Returns	101	5.54
West Virginia	Kickoff Returns	11	25.63
West Virginia	First Downs Offense	19	325
West Virginia	First Downs Defense	61	257
West Virginia	Fewest Penalties Per Game	T-86	6.69
West Virginia	Fewest Penalty Yards Per Game	116	70.00
West Virginia	Time of Possession	75	   29:22
UTSA	Stat	Rank	Value
UTSA	Total Offense	98	362.3
UTSA	Rushing Offense	68	168.8
UTSA	Passing Offense	96	193.4
UTSA	Team Passing Efficiency	85	122.24
UTSA	Scoring Offense	104	22.6
UTSA	Total Defense	100	444.1
UTSA	Rushing Defense	67	168.9
UTSA	Passing Yards Allowed	117	275.2
UTSA	Team Passing Efficiency Defense	92	138.28
UTSA	Scoring Defense	101	33.8
UTSA	Turnover Margin	T-79	-0.08
UTSA	3rd Down Conversion Pct	59	0.405
UTSA	4th Down Conversion Pct	125	0.214
UTSA	3rd Down Conversion Pct Defense	87	0.415
UTSA	4th Down Conversion Pct Defense	T-93	0.556
UTSA	Red Zone Offense	113	0.756
UTSA	Red Zone Defense	T-34	0.793
UTSA	Net Punting	98	35.78
UTSA	Punt Returns	T-106	5.16
UTSA	Kickoff Returns	73	20.76
UTSA	First Downs Offense	87	244
UTSA	First Downs Defense	96	283
UTSA	Fewest Penalties Per Game	T-93	7.00
UTSA	Fewest Penalty Yards Per Game	108	65.67
UTSA	Time of Possession	92	   28:33
Southern Miss.	Stat	Rank	Value
Southern Miss.	Total Offense	12	509.5
Southern Miss.	Rushing Offense	54	179.8
Southern Miss.	Passing Offense	12	329.7
Southern Miss.	Team Passing Efficiency	16	157.01
Southern Miss.	Scoring Offense	13	39.9
Southern Miss.	Total Defense	50	379.5
Southern Miss.	Rushing Defense	46	151.9
Southern Miss.	Passing Yards Allowed	70	227.6
Southern Miss.	Team Passing Efficiency Defense	35	118.97
Southern Miss.	Scoring Defense	49	25.6
Southern Miss.	Turnover Margin	74	-0.07
Southern Miss.	3rd Down Conversion Pct	19	0.462
Southern Miss.	4th Down Conversion Pct	64	0.516
Southern Miss.	3rd Down Conversion Pct Defense	55	0.370
Southern Miss.	4th Down Conversion Pct Defense	T-56	0.478
Southern Miss.	Red Zone Offense	90	0.808
Southern Miss.	Red Zone Defense	53	0.818
Southern Miss.	Net Punting	116	34.24
Southern Miss.	Punt Returns	108	4.96
Southern Miss.	Kickoff Returns	31	23.29
Southern Miss.	First Downs Offense	20	324
Southern Miss.	First Downs Defense	T-90	277
Southern Miss.	Fewest Penalties Per Game	T-93	7.00
Southern Miss.	Fewest Penalty Yards Per Game	110	66.86
Southern Miss.	Time of Possession	54	   30:19
SMU	Stat	Rank	Value
SMU	Total Offense	76	382.8
SMU	Rushing Offense	73	164.5
SMU	Passing Offense	70	218.3
SMU	Team Passing Efficiency	71	128.36
SMU	Scoring Offense	73	27.8
SMU	Total Defense	118	502.2
SMU	Rushing Defense	123	261.2
SMU	Passing Yards Allowed	88	241.0
SMU	Team Passing Efficiency Defense	124	163.74
SMU	Scoring Defense	126	45.7
SMU	Turnover Margin	112	-0.83
SMU	3rd Down Conversion Pct	65	0.394
SMU	4th Down Conversion Pct	113	0.350
SMU	3rd Down Conversion Pct Defense	115	0.464
SMU	4th Down Conversion Pct Defense	105	0.591
SMU	Red Zone Offense	60	0.841
SMU	Red Zone Defense	123	0.927
SMU	Net Punting	122	33.24
SMU	Punt Returns	121	3.15
SMU	Kickoff Returns	43	22.25
SMU	First Downs Offense	T-83	246
SMU	First Downs Defense	90	277
SMU	Fewest Penalties Per Game	T-36	5.42
SMU	Fewest Penalty Yards Per Game	49	50.33
SMU	Time of Possession	34	   31:24
La.-Monroe	Stat	Rank	Value
La.-Monroe	Total Offense	122	310.8
La.-Monroe	Rushing Offense	123	102.9
La.-Monroe	Passing Offense	82	207.9
La.-Monroe	Team Passing Efficiency	109	110.60
La.-Monroe	Scoring Offense	111	21.0
La.-Monroe	Total Defense	92	422.8
La.-Monroe	Rushing Defense	104	208.0
La.-Monroe	Passing Yards Allowed	55	214.8
La.-Monroe	Team Passing Efficiency Defense	113	150.80
La.-Monroe	Scoring Defense	112	36.5
La.-Monroe	Turnover Margin	123	-1.23
La.-Monroe	3rd Down Conversion Pct	122	0.297
La.-Monroe	4th Down Conversion Pct	84	0.464
La.-Monroe	3rd Down Conversion Pct Defense	27	0.346
La.-Monroe	4th Down Conversion Pct Defense	59	0.483
La.-Monroe	Red Zone Offense	109	0.767
La.-Monroe	Red Zone Defense	30	0.787
La.-Monroe	Net Punting	127	31.77
La.-Monroe	Punt Returns	123	2.18
La.-Monroe	Kickoff Returns	103	19.40
La.-Monroe	First Downs Offense	109	216
La.-Monroe	First Downs Defense	T-85	273
