team	stats	rankings	value
West Virginia	Stat	Rank	Value
West Virginia	Total Offense	62	411.0
West Virginia	Rushing Offense	82	148.7
West Virginia	Passing Offense	34	262.3
West Virginia	Team Passing Efficiency	100	115.53
West Virginia	Scoring Offense	79	26.3
West Virginia	Total Defense	101	455.0
West Virginia	Rushing Defense	90	191.7
West Virginia	Passing Yards Allowed	106	263.3
West Virginia	Team Passing Efficiency Defense	96	140.81
West Virginia	Scoring Defense	99	33.3
West Virginia	Turnover Margin	T-86	-0.33
West Virginia	3rd Down Conversion Pct	113	0.319
West Virginia	4th Down Conversion Pct	123	0.222
West Virginia	3rd Down Conversion Pct Defense	92	0.427
West Virginia	4th Down Conversion Pct Defense	T-117	0.750
West Virginia	Red Zone Offense	T-77	0.800
West Virginia	Red Zone Defense	T-65	0.833
West Virginia	Net Punting	7	40.70
West Virginia	Punt Returns	119	3.21
West Virginia	Kickoff Returns	112	18.57
West Virginia	First Downs Offense	T-83	246
West Virginia	First Downs Defense	43	254
West Virginia	Fewest Penalties Per Game	51	5.25
West Virginia	Fewest Penalty Yards Per Game	71	49.25
West Virginia	Time of Possession	101	   28:19
UTSA	Stat	Rank	Value
Southern Miss.	Stat	Rank	Value
Southern Miss.	Total Offense	114	315.5
Southern Miss.	Rushing Offense	121	72.9
Southern Miss.	Passing Offense	54	242.6
Southern Miss.	Team Passing Efficiency	113	103.96
Southern Miss.	Scoring Offense	117	17.1
Southern Miss.	Total Defense	99	435.5
Southern Miss.	Rushing Defense	113	224.6
Southern Miss.	Passing Yards Allowed	25	210.9
Southern Miss.	Team Passing Efficiency Defense	108	152.26
Southern Miss.	Scoring Defense	117	41.9
Southern Miss.	Turnover Margin	123	-1.58
Southern Miss.	3rd Down Conversion Pct	119	0.296
Southern Miss.	4th Down Conversion Pct	87	0.438
Southern Miss.	3rd Down Conversion Pct Defense	109	0.459
Southern Miss.	4th Down Conversion Pct Defense	T-121	0.800
Southern Miss.	Red Zone Offense	113	0.735
Southern Miss.	Red Zone Defense	121	0.946
Southern Miss.	Net Punting	120	33.07
Southern Miss.	Punt Returns	12	13.42
Southern Miss.	Kickoff Returns	91	19.72
Southern Miss.	First Downs Offense	114	208
Southern Miss.	First Downs Defense	101	288
Southern Miss.	Fewest Penalties Per Game	65	5.58
Southern Miss.	Fewest Penalty Yards Per Game	41	42.33
Southern Miss.	Time of Possession	111	   27:17
SMU	Stat	Rank	Value
SMU	Total Offense	41	435.2
SMU	Rushing Offense	117	93.8
SMU	Passing Offense	8	341.4
SMU	Team Passing Efficiency	68	128.60
SMU	Scoring Offense	76	26.8
SMU	Total Defense	72	412.6
SMU	Rushing Defense	31	140.8
SMU	Passing Yards Allowed	113	271.8
SMU	Team Passing Efficiency Defense	94	139.96
SMU	Scoring Defense	T-99	33.3
SMU	Turnover Margin	T-105	-0.58
SMU	3rd Down Conversion Pct	78	0.389
SMU	4th Down Conversion Pct	64	0.481
SMU	3rd Down Conversion Pct Defense	80	0.412
SMU	4th Down Conversion Pct Defense	T-40	0.450
SMU	Red Zone Offense	97	0.780
SMU	Red Zone Defense	104	0.880
SMU	Net Punting	123	31.30
SMU	Punt Returns	65	7.88
SMU	Kickoff Returns	98	19.30
SMU	First Downs Offense	T-58	276
SMU	First Downs Defense	71	269
SMU	Fewest Penalties Per Game	113	7.50
SMU	Fewest Penalty Yards Per Game	110	64.17
SMU	Time of Possession	86	   28:55
La.-Monroe	Stat	Rank	Value
La.-Monroe	Total Offense	98	360.3
La.-Monroe	Rushing Offense	105	122.8
La.-Monroe	Passing Offense	58	237.5
La.-Monroe	Team Passing Efficiency	99	115.92
La.-Monroe	Scoring Offense	100	22.3
La.-Monroe	Total Defense	90	426.8
La.-Monroe	Rushing Defense	87	189.3
La.-Monroe	Passing Yards Allowed	74	237.6
La.-Monroe	Team Passing Efficiency Defense	54	124.04
La.-Monroe	Scoring Defense	T-83	30.2
La.-Monroe	Turnover Margin	T-86	-0.33
La.-Monroe	3rd Down Conversion Pct	84	0.379
La.-Monroe	4th Down Conversion Pct	114	0.300
La.-Monroe	3rd Down Conversion Pct Defense	70	0.402
La.-Monroe	4th Down Conversion Pct Defense	T-10	0.333
La.-Monroe	Red Zone Offense	122	0.658
La.-Monroe	Red Zone Defense	25	0.767
La.-Monroe	Net Punting	22	39.12
La.-Monroe	Punt Returns	64	7.94
La.-Monroe	Kickoff Returns	114	18.37
La.-Monroe	First Downs Offense	T-109	212
La.-Monroe	First Downs Defense	T-45	255
La.-Monroe	Fewest Penalties Per Game	T-41	5.08
La.-Monroe	Fewest Penalty Yards Per Game	40	41.92
La.-Monroe	Time of Possession	73	   29:22
North Texas	Stat	Rank	Value
North Texas	Total Offense	63	410.5
North Texas	Rushing Offense	49	180.7
North Texas	Passing Offense	66	229.8
North Texas	Team Passing Efficiency	53	133.51
North Texas	Scoring Offense	49	31.8
North Texas	Total Defense	17	348.3
North Texas	Rushing Defense	14	120.5
North Texas	Passing Yards Allowed	61	227.8
North Texas	Team Passing Efficiency Defense	24	116.31
North Texas	Scoring Defense	8	17.8
North Texas	Turnover Margin	15	0.85
North Texas	3rd Down Conversion Pct	20	0.470
North Texas	4th Down Conversion Pct	T-49	0.533
North Texas	3rd Down Conversion Pct Defense	34	0.363
North Texas	4th Down Conversion Pct Defense	T-5	0.308
North Texas	Red Zone Offense	55	0.841
North Texas	Red Zone Defense	2	0.629
North Texas	Net Punting	86	36.00
North Texas	Punt Returns	5	14.28
North Texas	Kickoff Returns	17	23.83
North Texas	First Downs Offense	T-54	279
North Texas	First Downs Defense	T-15	231
North Texas	Fewest Penalties Per Game	87	6.31
North Texas	Fewest Penalty Yards Per Game	85	52.85
North Texas	Time of Possession	19	   32:13
North Carolina St.	Stat	Rank	Value
North Carolina St.	Total Offense	70	403.5
North Carolina St.	Rushing Offense	70	162.7
North Carolina St.	Passing Offense	56	240.8
North Carolina St.	Team Passing Efficiency	92	119.24
North Carolina St.	Scoring Offense	97	22.8
North Carolina St.	Total Defense	61	399.4
North Carolina St.	Rushing Defense	81	180.2
North Carolina St.	Passing Yards Allowed	47	219.3
North Carolina St.	Team Passing Efficiency Defense	68	127.08
North Carolina St.	Scoring Defense	83	30.2
North Carolina St.	Turnover Margin	T-61	0.00
North Carolina St.	3rd Down Conversion Pct	81	0.383
North Carolina St.	4th Down Conversion Pct	81	0.452
North Carolina St.	3rd Down Conversion Pct Defense	74	0.407
